Question,Counts,Year,population,Percentage,P/N
Resumo do negócio,0,2020,54,0.0,Positivos
Modelo de negócios,34,2020,54,0.6296296296296297,Positivos
Indicações de interface,6,2020,54,0.1111111111111111,Positivos
Navegação na ferramenta,19,2020,54,0.35185185185185186,Positivos
Aspecto visual,21,2020,54,0.3888888888888889,Positivos
Exemplos,21,2020,54,0.3888888888888889,Positivos
Perguntas,10,2020,54,0.18518518518518517,Positivos
Vídeos,23,2020,54,0.42592592592592593,Positivos
Gestão de Equipa,8,2020,54,0.14814814814814814,Positivos
Acesso a recursos externos,6,2020,54,0.1111111111111111,Positivos
Resumo do negócio,0,2020,54,0.0,Negativos
Modelo de negócios,5,2020,54,0.09259259259259259,Negativos
Indicações de interface,14,2020,54,0.25925925925925924,Negativos
Navegação na ferramenta,16,2020,54,0.2962962962962963,Negativos
Aspecto visual,12,2020,54,0.2222222222222222,Negativos
Exemplos,10,2020,54,0.18518518518518517,Negativos
Perguntas,8,2020,54,0.14814814814814814,Negativos
Vídeos,8,2020,54,0.14814814814814814,Negativos
Gestão de Equipa,9,2020,54,0.16666666666666666,Negativos
Acesso a recursos externos,18,2020,54,0.3333333333333333,Negativos
