Question,Counts,Year,population,Percentage,P/N
Resumo do negócio,0,2019,5,0.0,Positivos
Modelo de negócios,1,2019,5,0.2,Positivos
Indicações de interface,1,2019,5,0.2,Positivos
Navegação na ferramenta,1,2019,5,0.2,Positivos
Aspecto visual,2,2019,5,0.4,Positivos
Exemplos,0,2019,5,0.0,Positivos
Perguntas,0,2019,5,0.0,Positivos
Vídeos,1,2019,5,0.2,Positivos
Gestão de Equipa,0,2019,5,0.0,Positivos
Acesso a recursos externos,1,2019,5,0.2,Positivos
Resumo do negócio,0,2019,5,0.0,Negativos
Modelo de negócios,1,2019,5,0.2,Negativos
Indicações de interface,1,2019,5,0.2,Negativos
Navegação na ferramenta,1,2019,5,0.2,Negativos
Aspecto visual,0,2019,5,0.0,Negativos
Exemplos,3,2019,5,0.6,Negativos
Perguntas,2,2019,5,0.4,Negativos
Vídeos,3,2019,5,0.6,Negativos
Gestão de Equipa,1,2019,5,0.2,Negativos
Acesso a recursos externos,2,2019,5,0.4,Negativos
