Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,1,2017,3,0.3333333333333333,Positivos
Navegação na Ferramenta,2,2017,3,0.6666666666666666,Positivos
Perguntas,0,2017,3,0.0,Positivos
Exemplos,1,2017,3,0.3333333333333333,Positivos
Vídeos,0,2017,3,0.0,Positivos
Modelo de Negócios,2,2017,3,0.6666666666666666,Positivos
Indicações de Interface,0,2017,3,0.0,Positivos
Mural de Equipa,0,2017,3,0.0,Positivos
Gestão de Equipa,0,2017,3,0.0,Positivos
Gestão de Projectos,0,2017,3,0.0,Positivos
Aspecto Visual,0,2017,3,0.0,Negativos
Navegação na Ferramenta,0,2017,3,0.0,Negativos
Perguntas,1,2017,3,0.3333333333333333,Negativos
Exemplos,1,2017,3,0.3333333333333333,Negativos
Vídeos,1,2017,3,0.3333333333333333,Negativos
Modelo de Negócios,0,2017,3,0.0,Negativos
Indicações de Interface,0,2017,3,0.0,Negativos
Mural de Equipa,0,2017,3,0.0,Negativos
Gestão de Equipa,0,2017,3,0.0,Negativos
Gestão de Projectos,0,2017,3,0.0,Negativos
