Question,Counts,Year,population,Percentage
Positivos:Aspecto Visual,2,2014,22,0.09090909090909091
Positivos:Navegação na Ferramenta,4,2014,22,0.18181818181818182
Positivos:Perguntas,3,2014,22,0.13636363636363635
Positivos:Exemplos,1,2014,22,0.045454545454545456
Positivos:Vídeos,5,2014,22,0.22727272727272727
Positivos:Modelo de Negócios,1,2014,22,0.045454545454545456
Positivos:Indicações de Interface,2,2014,22,0.09090909090909091
Positivos:Mural de Equipa,1,2014,22,0.045454545454545456
Positivos:Gestão de Equipa,0,2014,22,0.0
Positivos:Gestão de Projectos,3,2014,22,0.13636363636363635
Negativos:Aspecto Visual,1,2014,22,0.045454545454545456
Negativos:Navegação na Ferramenta,3,2014,22,0.13636363636363635
Negativos:Perguntas,2,2014,22,0.09090909090909091
Negativos:Exemplos,3,2014,22,0.13636363636363635
Negativos:Vídeos,3,2014,22,0.13636363636363635
Negativos:Modelo de Negócios,0,2014,22,0.0
Negativos:Indicações de Interface,2,2014,22,0.09090909090909091
Negativos:Mural de Equipa,3,2014,22,0.13636363636363635
Negativos:Gestão de Equipa,3,2014,22,0.13636363636363635
Negativos:Gestão de Projectos,0,2014,22,0.0
