Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,6,2014,17,0.35294117647058826,Positivos
Navegação na Ferramenta,8,2014,17,0.47058823529411764,Positivos
Perguntas,6,2014,17,0.35294117647058826,Positivos
Exemplos,5,2014,17,0.29411764705882354,Positivos
Vídeos,4,2014,17,0.23529411764705882,Positivos
Modelo de Negócios,9,2014,17,0.5294117647058824,Positivos
Indicações de Interface,4,2014,17,0.23529411764705882,Positivos
Mural de Equipa,0,2014,17,0.0,Positivos
Gestão de Equipa,2,2014,17,0.11764705882352941,Positivos
Gestão de Projectos,7,2014,17,0.4117647058823529,Positivos
Aspecto Visual,3,2014,17,0.17647058823529413,Negativos
Navegação na Ferramenta,4,2014,17,0.23529411764705882,Negativos
Perguntas,3,2014,17,0.17647058823529413,Negativos
Exemplos,6,2014,17,0.35294117647058826,Negativos
Vídeos,7,2014,17,0.4117647058823529,Negativos
Modelo de Negócios,1,2014,17,0.058823529411764705,Negativos
Indicações de Interface,4,2014,17,0.23529411764705882,Negativos
Mural de Equipa,8,2014,17,0.47058823529411764,Negativos
Gestão de Equipa,6,2014,17,0.35294117647058826,Negativos
Gestão de Projectos,0,2014,17,0.0,Negativos
