Question,Counts,Year,population,Percentage
Positivos:Aspecto Visual,231,2014,442,0.5226244343891403
Positivos:Navegação na Ferramenta,271,2014,442,0.6131221719457014
Positivos:Perguntas,172,2014,442,0.3891402714932127
Positivos:Exemplos,170,2014,442,0.38461538461538464
Positivos:Vídeos,66,2014,442,0.1493212669683258
Positivos:Modelo de Negócios,190,2014,442,0.4298642533936652
Positivos:Indicações de Interface,52,2014,442,0.11764705882352941
Positivos:Mural de Equipa,11,2014,442,0.024886877828054297
Positivos:Gestão de Equipa,15,2014,442,0.033936651583710405
Positivos:Gestão de Projectos,133,2014,442,0.3009049773755656
Negativos:Aspecto Visual,49,2014,442,0.11085972850678733
Negativos:Navegação na Ferramenta,51,2014,442,0.11538461538461539
Negativos:Perguntas,51,2014,442,0.11538461538461539
Negativos:Exemplos,79,2014,442,0.17873303167420815
Negativos:Vídeos,194,2014,442,0.43891402714932126
Negativos:Modelo de Negócios,22,2014,442,0.049773755656108594
Negativos:Indicações de Interface,137,2014,442,0.30995475113122173
Negativos:Mural de Equipa,187,2014,442,0.4230769230769231
Negativos:Gestão de Equipa,161,2014,442,0.36425339366515835
Negativos:Gestão de Projectos,51,2014,442,0.11538461538461539
