Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,0,2014,4,0.0,Positivos
Navegação na Ferramenta,2,2014,4,0.5,Positivos
Perguntas,3,2014,4,0.75,Positivos
Exemplos,1,2014,4,0.25,Positivos
Vídeos,2,2014,4,0.5,Positivos
Modelo de Negócios,0,2014,4,0.0,Positivos
Indicações de Interface,1,2014,4,0.25,Positivos
Mural de Equipa,0,2014,4,0.0,Positivos
Gestão de Equipa,0,2014,4,0.0,Positivos
Gestão de Projectos,1,2014,4,0.25,Positivos
 Acesso a recursos externos,1,2014,4,0.25,Positivos
Aspecto Visual,1,2014,4,0.25,Negativos
Navegação na Ferramenta,0,2014,4,0.0,Negativos
Perguntas,1,2014,4,0.25,Negativos
Exemplos,2,2014,4,0.5,Negativos
Vídeos,2,2014,4,0.5,Negativos
Modelo de Negócios,0,2014,4,0.0,Negativos
Indicações de Interface,1,2014,4,0.25,Negativos
Mural de Equipa,1,2014,4,0.25,Negativos
Gestão de Equipa,2,2014,4,0.5,Negativos
Gestão de Projectos,0,2014,4,0.0,Negativos
 Acesso a recursos externos,2,2014,4,0.5,Negativos
